shock,coalition_share,mean_support,t
False,0.0,0.18442098432994167,0
False,0.0,0.2239792240353693,1
False,0.0,0.2637880479352218,2
False,0.0,0.3037038610385912,3
False,0.0,0.34366938519937484,4
False,0.0,0.3836596765693579,5
False,0.0,0.42366280358174496,6
False,0.0,0.4636725791185541,7
False,0.0,0.5036856125831612,8
False,0.0,0.5436999934527681,9
False,0.23773431077731505,0.5837146416472228,10
False,0.42750169926359133,0.6237289588731822,11
False,0.7961059398158529,0.6637426302575284,12
False,1.0,0.7037555075425334,13
False,1.0,0.743767539146703,14
False,1.0,0.78377872808122,15
False,1.0,0.8237891067144871,16
False,1.0,0.8637987217996229,17
False,1.0,0.903807625756489,18
False,1.0,0.943815871748537,19
False,1.0,0.9837930936680787,20
False,1.0,0.9967586187336156,21
False,1.0,0.9993517237467232,22
False,1.0,0.9998703447493448,23
False,1.0,0.9999740689498692,24
False,1.0,0.9999948137899737,25
False,1.0,0.9999989627579949,26
False,1.0,0.999999792551599,27
False,1.0,0.9999999585103198,28
False,1.0,0.9999999917020639,29
False,1.0,0.9999999983404128,30
False,1.0,0.9999999996680826,31
False,1.0,0.9999999999336165,32
False,1.0,0.9999999999867235,33
False,1.0,0.9999999999973448,34
False,1.0,0.9999999999994692,35
False,1.0,0.9999999999998939,36
False,1.0,0.9999999999999789,37
False,1.0,0.9999999999999959,38
False,1.0,0.9999999999999993,39
False,1.0,1.0,40
False,1.0,1.0,41
False,1.0,1.0,42
False,1.0,1.0,43
False,1.0,1.0,44
False,1.0,1.0,45
False,1.0,1.0,46
False,1.0,1.0,47
False,1.0,1.0,48
False,1.0,1.0,49
False,1.0,1.0,50
False,1.0,1.0,51
False,1.0,1.0,52
False,1.0,1.0,53
False,1.0,1.0,54
False,1.0,1.0,55
False,1.0,1.0,56
False,1.0,1.0,57
False,1.0,1.0,58
False,1.0,1.0,59
False,1.0,1.0,60
False,1.0,1.0,61
False,1.0,1.0,62
False,1.0,1.0,63
False,1.0,1.0,64
False,1.0,1.0,65
False,1.0,1.0,66
False,1.0,1.0,67
False,1.0,1.0,68
False,1.0,1.0,69
False,1.0,1.0,70
False,1.0,1.0,71
False,1.0,1.0,72
False,1.0,1.0,73
False,1.0,1.0,74
False,1.0,1.0,75
False,1.0,1.0,76
False,1.0,1.0,77
False,1.0,1.0,78
False,1.0,1.0,79
False,1.0,1.0,80
False,1.0,1.0,81
False,1.0,1.0,82
False,1.0,1.0,83
False,1.0,1.0,84
False,1.0,1.0,85
False,1.0,1.0,86
False,1.0,1.0,87
False,1.0,1.0,88
False,1.0,1.0,89
False,1.0,1.0,90
False,1.0,1.0,91
False,1.0,1.0,92
False,1.0,1.0,93
False,1.0,1.0,94
False,1.0,1.0,95
False,1.0,1.0,96
False,1.0,1.0,97
False,1.0,1.0,98
False,1.0,1.0,99
False,1.0,1.0,100
False,1.0,1.0,101
False,1.0,1.0,102
False,1.0,1.0,103
False,1.0,1.0,104
False,1.0,1.0,105
False,1.0,1.0,106
False,1.0,1.0,107
False,1.0,1.0,108
False,1.0,1.0,109
False,1.0,1.0,110
False,1.0,1.0,111
False,1.0,1.0,112
False,1.0,1.0,113
False,1.0,1.0,114
False,1.0,1.0,115
False,1.0,1.0,116
False,1.0,1.0,117
False,1.0,1.0,118
False,1.0,1.0,119
